"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinHeader_1x03_P2.54mm_Horizontal";1;"WS2812";;;
2;"R4,R26";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"R10K";;;
3;"C6,C8";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";2;"22uF X5R";;;
4;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100uF";;;
5;"R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10K";;;
6;"R2,R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"5.1K";;;
7;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"SN74AHCT125";;;
8;"R10";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"90K";;;
9;"P1,P2";"PinHeader_1x01_P2.54mm_Vertical";2;"Conn_01x01";;;
10;"U1";"Diodes_SO-8EP";1;"FP6276B Boost_Convertor";;;
11;"F1,F2";"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder";2;"Polyfuse";;;
12;"T1,T2";"TestPoint_Pad_D2.0mm";2;"CONN_01X01";;;
13;"SW1";"SW_SPST_GULLWING";1;"Reset";;;
14;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1M";;;
15;"5V_T1,Clk_T1,Data_T1";"TestPoint_Pad_D2.0mm";3;"Conn_01x01";;;
16;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1nF";;;
17;"C4,C1";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";2;"22uF";;;
18;"J1";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";;;
19;"L1";"L_7.3x7.3_H3.5";1;"3.3uH";;;
20;"L2";"L_12x12mm_H6mm";1;"1.5uH";;;
21;"R12,R15,R16";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"R560";;;
22;"R13,R14,R17";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"R10k";;;
23;"U4";"ESP-WROOM-02";1;"ESP-13-WROOM-02";;;
