Designator,Mid X,Mid Y,Rotation,Layer
5V_T1,32.258,-74.932,0.0,top
C1,23.2125,-11.24,0.0,top
C10,9.3742,-49.5094,0.0,top
C11,9.4042,-51.2194,0.0,top
C12,2.25,-70.29,0.0,top
C2,25.89,-12.1825,90.0,top
C20,13.0842,-15.6094,180.0,top
C21,13.0842,-19.3794,180.0,top
C22,18.3067,-25.4794,0.0,top
C23,18.3067,-24.1694,0.0,top
C24,18.3067,-22.8694,0.0,top
C25,18.3067,-21.5594,0.0,top
C31,31.0417,-48.8369,90.0,top
C32,24.1217,-48.7669,90.0,top
C41,19.4575,-75.12,180.0,top
CLK_T1,28.194,-74.932,180.0,top
D1,38.6892,-22.9794,0.0,top
D2,38.7642,-25.2894,180.0,top
D3,38.7792,-27.5294,0.0,top
D4,38.7292,-29.7794,180.0,top
D6,38.7142,-20.6994,180.0,top
DATA_T1,26.924,-63.754,180.0,top
F1,18.6242,-28.1394,180.0,top
J12,5.08,-62.74,180.0,top
J13,12.7,-62.74,0.0,top
J14,17.78,-60.2,0.0,top
J51,39.8642,-37.9294,270.0,top
L2,28.74,-21.14,270.0,top
L3,25.8507,-54.5469,180.0,top
Q1,34.9742,-56.0369,90.0,top
R1,34.9917,-3.4094,0.0,top
R11,2.23,-72.12,180.0,top
R12,40.2642,-31.9294,0.0,top
R13,11.0867,-52.7294,0.0,top
R14,19.8542,-38.5769,90.0,top
R15,17.7817,-33.1494,180.0,top
R16,15.3342,-33.1494,0.0,top
R2,35.0242,-5.4194,0.0,top
R20,13.6942,-17.4319,90.0,top
R21,31.8142,-55.6219,270.0,top
R22,33.5667,-52.3194,0.0,top
R26,14.0542,-11.6669,270.0,top
R27,12.1989,-32.2346,0.0,top
R3,34.9867,-7.3094,0.0,top
R31,27.5742,-44.0369,0.0,top
R32,27.5892,-45.8069,180.0,top
R4,23.23,-13.14,180.0,top
R41,25.7842,-69.9444,0.0,top
R42,25.7217,-68.0444,0.0,top
R5,13.35,-78.2175,90.0,top
R6,5.46,-78.25,90.0,top
U1,12.9242,-41.1494,90.0,top
U2,17.8542,-17.2994,270.0,top
U3,27.5942,-48.7269,180.0,top
U4,18.9142,-71.2744,90.0,top
USBC1,40.2842,-13.9194,90.0,top
